Title,Source,Date
"Climate decision condemned: Scott, Leahy, Sanders, Welch all criticize Trump's announcement on Paris agreement",The Burlington Free Press,2017-06-02
Trump's retrograde climate policy hands China reins in driving a low-carbon future,Irish Independent,2017-06-02
What Donald Trump said about India in his announcement on Paris climate accord,Indian Express,2017-06-02
Donald Trump pulls US out of Paris Climate Agreement: Here's the full text of his statement,Indian Express,2017-06-02
Three states unite to resist Trump's withdrawal from Paris Agreement,People's Daily,2017-06-02
"Trump says he was elected to represent Pittsburghers, not Parisians; President Trump thrust Pittsburgh into the international spotlight Thursday afternoon by referencing it in his speech about withdrawing the United States from the Paris climate pact. [Derived",Tribune - Review / Pittsburgh Tribune - Review,2017-06-02
Plank denounces Trump's withdrawal from Paris climate accord,The Daily Record,2017-06-02
Anger as Trump announces US withdrawal from global climate deal,The New Vision,2017-06-02
A moral and a practical failure Trump's withdrawal from Paris Agreement weakens America's role in a global crisis,Daily Herald,2017-06-02
May under fire for Trump 'subservience': PM criticised for response to US climate change deal withdrawal,The Scotsman,2017-06-03
Trump backers defend climate pact withdrawal despite wide criticism,Newsday,2017-06-03
RAMESH PONNURU: Reaction to Trump's withdrawal from climate accord is overrblown,The Sun,2017-06-03
Trump's withdrawal from climate pact accomplishes nothing at home or abroad,Irish Independent,2017-06-03
Cranley slams Trump's withdrawal from climate accord,Cincinnati Enquirer,2017-06-03
About 100 gather in downtown Colorado Springs to protest against Trump's withdrawal of Paris climate accord,The Gazette,2017-06-04
Trump's foolish withdrawal; Our view: Abandoning Paris climate agreement is the president's Nero moment - fiddling with nationalism while a costly man-made disaster approaches,The Baltimore Sun,2017-06-04
"16 Years Later, Bush's Climate Pact Withdrawal Holds Lessons for Trump",New York Times (1923-),2017-06-05
"16 Years Later, Bush's Climate Pact Withdrawal Holds Lessons for Trump: [National Desk]",New York Times,2017-06-05
Top US diplomat in China quits 'over Donald Trump's climate policy',Telegraph.co.uk,2017-06-06
Lawrence mayor takes stand against Trump's withdrawal from Paris climate agreement,Daily Journal World,2017-06-06
United States: Investors Bet Trump Climate Withdrawal to Boost US Drilling,Asia News Monitor,2017-06-06
US diplomat in China resigns over Trump's climate policy,Iran Daily,2017-06-06
'We are still in': American ski resorts slam Donald Trump’s withdrawal from climate change deal,Telegraph.co.uk,2017-06-08
"Allowing America to thrive; On June 1, following serious deliberation, President Trump announced in a thoughtful, informative speech that he would withdraw the United States from the Paris climate accord. [Derived Headline]",Tribune - Review / Pittsburgh Tribune - Review,2017-06-08
Trump's withdrawal from the Paris Climate Agreement hurts Africa and the planet!,New York Amsterdam News,2017-06-08
Mountain people urge Trump to rethink Paris agreement withdrawal,Republica,2017-06-12
EU trolls Trump: Brussels plans big bash for US states rebelling against climate policy,Express (Online),2017-06-15
European Union: Speech by President Juncker at the European Parliament on President Trump's decision to withdraw the U.S. from the COP 21 Climate Agreement,Asia News Monitor,2017-06-15
How Donald Trump Can Build Toward a Climate Policy: Editorial,Las Cruces Sun - News,2017-06-15
G7 environment ministers challenge Trump's climate change withdrawal,The Malta Independent,2017-06-16
"Terror response must go beyond policing social media, US Paris accord withdrawal can benefit climate change movement, only Qatar's action can mend relations, what's the 'real reason' Arab countries cut Qatar ties?, how Trump may have",The Christian Science Monitor,2017-06-17
Bloomberg View: How Trump can build toward a climate policy,The Salt Lake Tribune,2017-06-19
Schwarzenegger backs Macron's attack on Trump climate policy: Digest,Scotland on Sunday,2017-06-25
House bill cancels most of Trump's clean energy cuts,Washington Examiner,2017-06-27
"Paris pullout rationale; In response to those opposing President Trump's withdrawal from the Paris climate accord, let's look at the facts. [Derived Headline]",Tribune - Review / Pittsburgh Tribune - Review,2017-06-29
"Foolish & costly; Moves by universities, municipalities and individuals to divest equities in fossil fuels, especially after President Trump announced the U.S. withdrawal from the Paris climate agreement, often amount to cutting off one's nose",Tribune - Review / Pittsburgh Tribune - Review,2017-06-29
Hawking warns Trump on risky climate policy,The Mercury,2017-07-04
Jerry Brown one-ups Trump on climate change with G20 announcement,Daily News,2017-07-06
Trump isolated on climate change as G20 summit ends: BUT US INCLUDED IN HARD-WON TRADE STATEMENT,Daily Post,2017-07-10
House's EPA spending bill doesn't agree with Trump cuts but approves layoffs,Washington Examiner,2017-07-11
Paris Climate Deal Senators Urge Trump To Reconsider Withdrawal,RTTNews,2017-07-14
Trump urged to reconsider Paris Agreement withdrawal,Businessline,2017-07-14
Why banks should care about Trump's climate-change withdrawal,American Banker,2017-07-17
Here's how Al Gore thinks Trump's withdrawal from the Paris agreement can be reversed,Washington Examiner,2017-08-12
Trump rebuffs coal industry's push to invoke emergency order,The Globe and Mail,2017-08-23
Mars invests $1bn to fight Donald Trump’s withdrawal from Paris Climate Accord,Express (Online),2017-09-06
Trump Climate Policy to Face New Questions,Wall Street Journal,2017-09-18
U.S. News: Trump Climate Policy Gets Fresh Scrutiny --- Administration insists the president hasn't changed his position on the Paris accord,The Wall Street Journal Asia,2017-09-19
May uses UN address to rebuke Trump over Paris Agreement withdrawal,The Independent (Daily Edition),2017-09-21
Theresa May takes shock swipe at Donald Trump over Paris climate deal in UN speech,Express (Online),2017-09-21
Rep. Gallego Statement on the Trump Administration's Repeal of the Clean Power Plan,Yellow Sheet Report,2017-10-10
Trump nominates climate policy skeptic for top White House environmental job,Washington Examiner,2017-10-13
Oil drilling could bring artificial island: Trump order opens area that was previously off-limits,The Gleaner,2017-10-27
Trump undoing ruinous Obama climate policy,Whittier Daily News,2017-11-03
"Climate change is a 'direct threat to national security,' the defense bill says. And Trump is expected to sign it",Washington Examiner,2017-11-22
Obama 'criticises Trump' over climate pact withdrawal,IANS English,2017-12-06
"France: Paris climate summit opens with Bill Gates, DiCaprio, but not Trump",Asia News Monitor,2017-12-14
Senate confirms two Trump EPA nominees after Dourson withdrawal,Washington Examiner,2017-12-14
Trump ditches climate change in new national security strategy days after signing a bill calling it a 'direct threat',Washington Examiner,2017-12-18
Trump ignores climate change in key speech,The Desert Sun,2017-12-19
Sen. Bill Nelson threatens to block Trump from dismantling offshore drilling rules,Washington Examiner,2018-01-03
"Thanks for exposing schools' bad practices; For Trump, added oil drilling should start close to home; Republican tax law analysis too little, too late, Sen. Rubio; President's tweets are rants and word noise, not policy",South Florida Sun - Sentinel,2018-01-07
"BACK STORY; Trump's old-energy plan nears a crucial juncture; As his administration's fossil-fuel 'dominance' policy founders, a decision on whether to impose solar panel tariffs looms as pivotal",Los Angeles Times,2018-01-11
"Saturday, Jan. 13, 2018: University censorship troubling, Trump's reckless oil drilling order, refuting 'Fire and Fury'",Bangor Daily News,2018-01-12
Offshore drilling: Miss. groups want protection; Bryant supports Trump policy,The Clarion Ledger,2018-01-16
Governor supports Trump's offshore oil drilling policy: Environmental groups express their opposition,Hattiesburg American,2018-01-17
Climate activists dial up heat on Bill Nye over plan to attend Trump's State of the Union,Washington Examiner,2018-01-26
Portland council resists oil drilling off coast: Its resolution for nearby waters to be exempt from Trump's exploration order will go to federal agencies.,Portland Press Herald,2018-02-06
Judge's order could force Trump's EPA to sanction coal plant,Washington Examiner,2018-02-07
Don't miss streetcar's potential benefits; Efficiency is the key ; to better budgeting; Protecting U.S. means facing climate change; Trump's parade isn't about military respect; Presidency a political spin on 'Apprentice'; Is White House talk new norm for,South Florida Sun - Sentinel,2018-02-10
Video on Deadspin illustrates Sinclair stations' messaging; NEWS BRIEFING; Staff and news services; Trump congratulates el-Sissi after election decried as sham; EPA says Pruitt's condo lease didn't violate ethics rules; Trump urges 'nuclear option' by,Orlando Sentinel,2018-04-03
Video uses Sinclair statement to show effect TV consolidation; NEWS BRIEFING; Staff and news services; Trump congratulates el-Sissi after election decried as sham; EPA says Pruitt's condo lease didn't violate ethics rules; Trump urges 'nuclear option' by,Hartford Courant,2018-04-03
"Algerian military plane crashes shortly after takeoff, killing 257; ; Pope admits he made 'grave errors' in Chile sex abuse case; Yemeni rebels' missiles, drones target Saudi capital and south; Ex-speaker Boehner joins board of marijuana company;",Orlando Sentinel,2018-04-12
Trump's EPA order on pollution less bold than in past,Washington Examiner,2018-04-12
"Algerian military plane crashes shortly after takeoff, killing 257; NEWS BRIEFING; Staff and news services; Pope admits he made 'grave errors' in Chile sex abuse case; Yemeni rebels' missiles, drones target Saudi capital and south; Report vividly",Capital,2018-04-12
"Algerian military plane crashes shortly after takeoff, killing 257; NEWS BRIEFING; Staff and news services; Pope admits he made 'grave errors' in Chile sex abuse case; Yemeni rebels' missiles, drones target Saudi capital and south; Ex-speaker",South Florida Sun - Sentinel,2018-04-12
CITY & STATE; Brown defends climate policy on Canada trip; Governor criticizes Trump's record at event in Ontario.,Los Angeles Times,2018-04-17
Calif. death reported in E. coli outbreak tied to Ariz. lettuce; ; Memo: Pruitt landlord's spouse sought EPA panel job for client ; Arizona teachers may stay out as lawmakers mull budget bill ; Detainee sent to Saudi Arabia; in Trump's 1st Gitmo transfer; Pope,Orlando Sentinel,2018-05-03
Calif. death reported in E. coli outbreak tied to Ariz. lettuce; NEWS BRIEFING; Staff and news services; Memo: Pruitt landlord's spouse sought EPA panel job for client ; Arizona teachers may stay out as lawmakers mull budget bill ; Detainee sent to Saudi,South Florida Sun - Sentinel,2018-05-03
Trump's gift to coal industry sets bad policy,The Poughkeepsie Journal,2018-08-23
Climate betrayal; Our view: The EPA fiddles while Hurricane Florence demonstrates what Donald Trump's disastrous climate policy has ignored,The Baltimore Sun,2018-09-12
"Daily on Energy, presented by GAIN: Trump signs bill to clean up the seas as pressure mounts on climate",Washington Examiner,2018-10-11
States can lead the way on climate change policy as Trump rolls back protections,USA Today (Online),2018-10-12
Higgins. TAKES A VEILED SWIPE AT TRUMP IN SPEECH: Michael D uses inauguration to chastise leaders over climate change [Eire Region],Daily Mail,2018-11-12
"higgins takes a veiled swipe at trump in speech: Michael D uses inauguration to chastise leaders over climate change [Eire Region Edition Value=""02s1""]",Daily Mail,2018-11-12
Democrats to mark Trump's tax bill's anniversary with effort to repeal Arctic oil drilling,Washington Examiner,2018-11-19
"Trump signs farm bill that backs climate change programs, avoids food stamp cuts",Washington Examiner,2018-12-20
Trump Administration May Scrap Another Obama Climate Order,The Epoch Times,2019-01-18
