Date,Close,High,Low,Open,Volume,Log_Return
2015-06-10,10637,10884.40039,10307.2002,10389.59961,1222488,-0.0153835915
2015-06-11,10472.09961,11049.2998,10389.59961,10637,1218911,-0.0156239487
2015-06-12,10801.90039,10966.7998,10389.59961,10719.40039,2393504,0.0310075402
2015-06-15,10637,11049.2998,10389.59961,10801.90039,1065025,-0.0153835915
2015-06-16,9812.410156,10719.40039,9812.410156,10637,1482866,-0.0806905623
2015-06-17,9317.669922,9977.320313,9317.669922,9812.410156,1804390,-0.051735338
2015-06-18,9647.5,9729.950195,8493.089844,8658.009766,1109788,0.0347862254
2015-06-19,9317.669922,9729.950195,9235.209961,9565.040039,1223556,-0.0347862254
2015-06-22,9482.580078,9647.5,8905.379883,9317.669922,734611,0.0175438503
2015-06-23,9400.120117,9565.040039,9317.669922,9317.669922,518230,-0.00873397176
2015-06-24,9070.290039,9482.580078,9070.290039,9152.75,3478191,-0.0357182262
2015-06-25,8658.009766,9152.75,8658.009766,9070.290039,2349036,-0.0465193645
2015-06-26,9482.580078,9482.580078,8493.089844,8987.839844,3658745,0.0909715624
2015-06-29,9894.870117,10307.2002,9647.5,10059.7998,3638177,0.0425600135
2015-06-30,9235.209961,9894.870117,9235.209961,9812.410156,2204072,-0.0689931041
2015-07-01,9317.669922,9894.870117,8493.089844,9070.290039,2637974,0.00888924032
2015-07-02,9647.5,9729.950195,8987.839844,9482.580078,2225651,0.0347862254
2015-07-06,9812.410156,9894.870117,9400.120117,9400.120117,3223744,0.0169491126
2015-07-07,9565.040039,9812.410156,9482.580078,9647.5,2374261,-0.0255331381
2015-07-08,9235.209961,9729.950195,9070.290039,9400.120117,2974524,-0.0350914401
2015-07-09,9235.209961,9317.669922,8905.379883,9070.290039,2095765,0
2015-07-10,8987.839844,9482.580078,8987.839844,9235.209961,2187461,-0.0271508135
2015-07-13,8575.549805,9070.290039,8575.549805,8740.469727,2364317,-0.0469574271
2015-07-14,8822.919922,8987.839844,8163.27002,8163.27002,2493657,0.028437764
2015-07-15,8410.639648,8822.919922,7998.350098,7998.350098,1315373,-0.047855343
2015-07-16,8163.27002,8410.639648,7586.060059,7586.060059,1307830,-0.0298527028
2015-07-17,8163.27002,8493.089844,7421.149902,7421.149902,1006728,0
2015-07-20,7998.350098,8163.27002,7833.439941,8080.810059,1222573,-0.0204095438
2015-07-21,7668.52002,7998.350098,7586.060059,7750.97998,1179593,-0.0421116429
2015-07-22,7915.890137,8163.27002,7503.609863,7586.060059,1773780,0.0317485093
2015-07-23,7750.97998,7998.350098,7750.97998,7998.350098,1066768,-0.0210528645
2015-07-24,7915.890137,8080.810059,7421.149902,7421.149902,1207123,0.0210528645
2015-07-27,7668.52002,7998.350098,7173.779785,7173.779785,1013495,-0.0317485093
2015-07-28,7750.97998,8163.27002,7338.689941,7338.689941,1989165,0.0106956447
2015-07-29,7915.890137,7915.890137,7421.149902,7421.149902,614537,0.0210528645
2015-07-30,8575.549805,8658.009766,7833.439941,7915.890137,2359260,0.0800429592
2015-07-31,8163.27002,8740.469727,8163.27002,8575.549805,1711194,-0.0492702818
2015-08-03,7750.97998,8163.27002,7421.149902,7421.149902,1252528,-0.0518255419
2015-08-04,7833.439941,7998.350098,7008.859863,7008.859863,956253,0.0105824575
2015-08-05,8080.810059,8163.27002,7091.319824,7091.319824,925692,0.0310903804
2015-08-06,7915.890137,8163.27002,7915.890137,8080.810059,1185221,-0.0206199733
2015-08-07,7915.890137,7998.350098,7503.609863,7503.609863,880869,0
2015-08-10,7833.439941,8080.810059,7503.609863,7503.609863,1088322,-0.0104704071
2015-08-11,7998.350098,8245.719727,7915.890137,7915.890137,1888797,0.0208335407
2015-08-12,7833.439941,8080.810059,7256.240234,7256.240234,987821,-0.0208335407
2015-08-13,7668.52002,8575.549805,7503.609863,8575.549805,1314864,-0.0212781022
2015-08-14,7668.52002,7750.97998,7503.609863,7668.52002,1217492,0
2015-08-17,7503.609863,7833.439941,7338.689941,7668.52002,1268306,-0.0217394199
2015-08-18,7668.52002,8245.719727,7421.149902,8245.719727,690940,0.0217394199
2015-08-19,7586.060059,8080.810059,7338.689941,8080.810059,1926817,-0.0108112795
2015-08-20,7256.240234,7833.439941,7256.240234,7833.439941,1094507,-0.0444505396
2015-08-21,6843.950195,7915.890137,6596.580078,7915.890137,2505869,-0.0584967418
2015-08-24,6184.290039,6761.490234,6184.290039,6761.490234,2097087,-0.101352867
2015-08-25,5772.009766,6266.75,5607.089844,5607.089844,2736570,-0.0689918789
2015-08-26,6349.209961,6349.209961,5194.810059,5194.810059,2568459,0.0953100568
2015-08-27,6926.410156,6926.410156,6679.040039,6926.410156,3820405,0.0870112745
2015-08-28,6926.410156,7586.060059,6679.040039,7586.060059,2085445,0
2015-08-31,6679.040039,7421.149902,6596.580078,7421.149902,1625224,-0.0363673935
2015-09-01,6596.580078,7338.689941,6514.120117,7338.689941,1237490,-0.0124229257
2015-09-02,6596.580078,6596.580078,6596.580078,6596.580078,0,0
2015-09-03,6679.040039,7173.779785,6596.580078,7173.779785,2444110,0.0124229257
2015-09-04,6596.580078,7256.240234,6596.580078,7256.240234,756999,-0.0124229257
2015-09-08,6761.490234,6761.490234,6431.660156,6431.660156,1346516,0.0246919699
2015-09-09,6679.040039,7338.689941,6679.040039,7338.689941,1562022,-0.0122690441
2015-09-10,6926.410156,7256.240234,6596.580078,7256.240234,2472070,0.0363673935
2015-09-11,7091.319824,7503.609863,6843.950195,7008.859863,3337646,0.0235298121
2015-09-14,6761.490234,7750.97998,6761.490234,7750.97998,1044905,-0.0476281615
2015-09-15,6926.410156,7008.859863,6761.490234,6761.490234,1917855,0.0240983494
2015-09-16,6926.410156,7421.149902,6761.490234,7421.149902,1178308,0
2015-09-17,6843.950195,7338.689941,6843.950195,7338.689941,1135073,-0.0119765851
2015-09-18,6926.410156,7256.240234,6926.410156,7173.779785,1413242,0.0119765851
2015-09-21,7091.319824,7586.060059,6843.950195,7586.060059,2265784,0.0235298121
2015-09-22,7437.640137,7709.75,7437.640137,7709.75,3494561,0.0476821365
2015-09-23,7619.049805,8072.560059,7346.939941,8072.560059,923785,0.0240980518
2015-09-24,7800.450195,8072.560059,6893.419922,6893.419922,2846732,0.023529785
2015-09-25,7619.049805,7800.450195,7619.049805,7709.75,1004609,-0.023529785
2015-09-28,7256.240234,7619.049805,7256.240234,7619.049805,1214624,-0.0487898437
2015-09-29,7437.640137,7437.640137,7165.529785,7256.240234,1674698,0.024691792
2015-09-30,7346.939941,7528.339844,7346.939941,7528.339844,1103184,-0.0122697206
2015-10-01,7437.640137,7528.339844,7346.939941,7437.640137,763592,0.0122697206
2015-10-02,7346.939941,7437.640137,7256.240234,7437.640137,756756,-0.0122697206
2015-10-05,7346.939941,7437.640137,7256.240234,7346.939941,790823,0
2015-10-06,7709.75,7709.75,7437.640137,7437.640137,1998943,0.0482018696
2015-10-07,7437.640137,7800.450195,7437.640137,7709.75,875936,-0.035932149
2015-10-08,7619.049805,7800.450195,7437.640137,7528.339844,2227656,0.0240980518
2015-10-09,7528.339844,7709.75,7437.640137,7619.049805,881559,-0.0119771191
2015-10-12,7528.339844,7709.75,7437.640137,7528.339844,1252330,0
2015-10-13,7437.640137,7528.339844,7437.640137,7528.339844,992140,-0.0121209326
2015-10-14,7346.939941,7528.339844,7256.240234,7528.339844,822575,-0.0122697206
2015-10-15,7346.939941,7437.640137,7256.240234,7346.939941,577710,0
2015-10-16,7346.939941,7528.339844,7346.939941,7437.640137,1016505,0
2015-10-19,7346.939941,7437.640137,7256.240234,7346.939941,595240,0
2015-10-20,7256.240234,7346.939941,7165.529785,7346.939941,738012,-0.0124220714
2015-10-21,6984.129883,7256.240234,6984.129883,7256.240234,993154,-0.0382214051
2015-10-22,7165.529785,7165.529785,6893.419922,6893.419922,781893,0.0256415837
2015-10-23,7165.529785,7256.240234,7074.830078,7256.240234,989064,0
2015-10-26,6893.419922,7165.529785,6893.419922,7165.529785,803722,-0.0387146772
2015-10-27,6893.419922,6984.129883,6893.419922,6893.419922,865352,0
2015-10-28,6712.02002,6984.129883,6712.02002,6893.419922,1281921,-0.0266673703
2015-10-29,6984.129883,6984.129883,6712.02002,6802.720215,2316341,0.0397404638
2015-10-30,6802.720215,7074.830078,6802.720215,7074.830078,695016,-0.0263178518
2015-11-02,6802.720215,7437.640137,6712.02002,7437.640137,1135354,0
2015-11-03,6802.720215,6802.720215,6712.02002,6802.720215,1003275,0
2015-11-04,6802.720215,7165.529785,6712.02002,7165.529785,1066228,0
2015-11-05,6893.419922,6893.419922,6712.02002,6712.02002,484218,0.0132447583
2015-11-06,6621.319824,6893.419922,6621.319824,6893.419922,738344,-0.0402726028
2015-11-09,6621.319824,6802.720215,6621.319824,6621.319824,621590,0
2015-11-10,6530.609863,6621.319824,6439.910156,6621.319824,817394,-0.0137943863
2015-11-11,6349.209961,6621.319824,6349.209961,6530.609863,785564,-0.0281699434
2015-11-12,6349.209961,6439.910156,6167.799805,6349.209961,547060,0
2015-11-13,6258.5,6349.209961,6258.5,6258.5,520600,-0.0143898498
2015-11-16,6802.720215,6802.720215,6349.209961,6349.209961,2716939,0.083382024
2015-11-17,6712.02002,7165.529785,6712.02002,6893.419922,1779137,-0.013422612
2015-11-18,6712.02002,6802.720215,6712.02002,6712.02002,687740,0
2015-11-19,6893.419922,6893.419922,6621.319824,6712.02002,1444275,0.0266673703
2015-11-20,6893.419922,6984.129883,6712.02002,6893.419922,991148,0
2015-11-23,7165.529785,7346.939941,6984.129883,6984.129883,2890608,0.0387146772
2015-11-24,7074.830078,7256.240234,6984.129883,7256.240234,974830,-0.0127385732
2015-11-25,7437.640137,7709.75,6621.319824,6984.129883,3418193,0.0500101866
2015-11-27,7074.830078,7528.339844,7074.830078,7437.640137,2090526,-0.0500101866
2015-11-30,6802.720215,7074.830078,6802.720215,6984.129883,1839157,-0.0392208622
2015-12-01,6712.02002,6893.419922,6621.319824,6712.02002,1232738,-0.013422612
2015-12-02,6802.720215,6893.419922,6712.02002,6802.720215,1218020,0.013422612
2015-12-03,6893.419922,7074.830078,6712.02002,6802.720215,1540800,0.0132447583
2015-12-04,6802.720215,6893.419922,6712.02002,6893.419922,630117,-0.0132447583
2015-12-07,6802.720215,6802.720215,6621.319824,6802.720215,679079,0
2015-12-08,6802.720215,6802.720215,6621.319824,6712.02002,692916,0
2015-12-09,6712.02002,6984.129883,6712.02002,6802.720215,1586707,-0.013422612
2015-12-10,6439.910156,6712.02002,6439.910156,6712.02002,1046173,-0.0413853627
2015-12-11,6530.609863,6712.02002,6439.910156,6530.609863,1623156,0.0139857439
2015-12-14,6439.910156,6621.319824,6439.910156,6621.319824,786038,-0.0139857439
2015-12-15,6712.02002,6712.02002,6439.910156,6621.319824,487944,0.0413853627
2015-12-16,6621.319824,6893.419922,6621.319824,6712.02002,1148310,-0.0136052325
2015-12-17,6621.319824,6802.720215,6530.609863,6712.02002,935251,0
2015-12-18,6530.609863,6712.02002,6530.609863,6530.609863,854449,-0.0137943863
2015-12-21,6439.910156,6530.609863,6349.209961,6530.609863,738488,-0.0139857439
2015-12-22,6439.910156,6621.319824,6349.209961,6439.910156,647278,0
2015-12-23,6349.209961,7074.830078,6258.5,7074.830078,457449,-0.0141841996
2015-12-24,6349.209961,6530.609863,6349.209961,6439.910156,453513,0
2015-12-28,6077.100098,6349.209961,6077.100098,6258.5,1065103,-0.043802765
2015-12-29,6167.799805,6258.5,5895.689941,6077.100098,1206510,0.0148145541
2015-12-30,6258.5,6621.319824,6167.799805,6621.319824,637565,0.0145983611
2015-12-31,6167.799805,6802.720215,6167.799805,6802.720215,389282,-0.0145983611
2016-01-04,6077.100098,6258.5,6077.100098,6258.5,725136,-0.0148145541
2016-01-05,5895.689941,6077.100098,5895.689941,6077.100098,1114639,-0.030306059
2016-01-06,5986.390137,6077.100098,5895.689941,6077.100098,499168,0.0152670166
2016-01-07,5623.580078,6530.609863,5623.580078,6530.609863,1312736,-0.0625200965
2016-01-08,5351.470215,6167.799805,5260.77002,6167.799805,1425985,-0.049597156
